NO,KDSKPD,NMSKPD,KDSUBUNIT,NMSUBUNIT,KDKEGIATAN,NMKEGIATAN,KDSUBKEGIATAN,NMSUBKEGIATAN,KDREK,NMREK,PAGU,SUMBERDANA
6442,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0007,UPT Wil. VII Toli-Toli,5.02.01.1.06,Administrasi Umum Perangkat Daerah,5.02.01.1.06.0002,Penyediaan Peralatan Dan Perlengkapan Kantor,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,3410000,Dana Bagi Hasil (DBH)
6443,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.02.1.05,Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah,5.02.02.1.05.0009,Pengelolaan Dana Darurat Dan Mendesak,5.3.01.01.001.00001,Belanja Tidak Terduga,7948501768.02,Pendapatan Asli Daerah (PAD)
6444,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.02.1.03,Koordinasi Dan Pengelolaan Perbendaharaan Daerah,5.02.02.1.03.0010,Penyusunan Petunjuk Teknis Administrasi Keuangan Yang Berkaitan Dengan Penerimaan Dan Pengeluaran Kas Serta Penatausahaan Dan Pertanggungjawaban Sub Kegiatan,5.1.02.02.001.00071,Belanja Lembur,75000000,Dana Alokasi Umum (DAU)
6445,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.02.1.03,Koordinasi Dan Pengelolaan Perbendaharaan Daerah,5.02.02.1.03.0009,Rekonsiliasi Data Penerimaan Dan Pengeluaran Kas Serta Pemungutan Dan Pemotongan Atas Sp2D Dengan Instansi Terkait,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,51700000,Dana Alokasi Umum (DAU)
6446,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.03.1.02,Invensi dan Inovasi,5.05.03.1.02.0026,Fasilitasi dan pembinaan untuk peningkatan difusi Inovasi,5.1.02.02.001.00036,Belanja Jasa Audit/Surveillance ISO,11600000,Pendapatan Asli Daerah (PAD)
6447,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0006,UPT Wil. VI Banggai Kepulauan,5.02.01.1.02,Administrasi Keuangan Perangkat Daerah,5.02.01.1.02.0003,Pelaksanaan Penatausahaan Dan Pengujian/Verifikasi Keuangan Skpd,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,64448000,Dana Alokasi Umum (DAU)
6448,5.04.0.00.0.00.01.0000,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,5.04.0.00.0.00.01.0000,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,5.04.02.1.02,"Sertifikasi, Kelembagaan, Pengembangan Kompetensi Manajerial Dan Fungsional",5.04.02.1.02.0003,Pelaksanaan Sertifikasi Kompetensi Di Lingkungan Pemerintah Provinsi Dan Kabupaten/Kota,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1060000,Pendapatan Asli Daerah (PAD)
6449,5.04.0.00.0.00.01.0000,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,5.04.0.00.0.00.01.0000,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,5.04.02.1.02,"Sertifikasi, Kelembagaan, Pengembangan Kompetensi Manajerial Dan Fungsional",5.04.02.1.02.0003,Pelaksanaan Sertifikasi Kompetensi Di Lingkungan Pemerintah Provinsi Dan Kabupaten/Kota,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1000000,Dana Bagi Hasil (DBH)
6450,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.01.1.05,Administrasi Kepegawaian Perangkat Daerah,5.02.01.1.05.0010,Sosialisasi Peraturan Perundang-Undangan,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,5000000,Pendapatan Asli Daerah (PAD)
6451,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.01.1.02,Administrasi Keuangan Perangkat Daerah,5.07.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.02.005.00001,Tambahan Penghasilan berdasarkan Prestasi Kerja PNS,1075653074.82,Pendapatan Asli Daerah (PAD)
6452,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,5.02.01.1.09.0011,Pemeliharaan/Rehabilitasi Sarana Dan Prasarana Pendukung Gedung Kantor Atau Bangunan Lainnya,5.1.02.03.002.00121,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Pendingin,58150000,Dana Bagi Hasil (DBH)
6453,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.0.00.0.00.01.0001,UPT Penilaian Kompetensi Pegawai,5.03.02.1.03,Pengembangan Kompetensi Asn,5.03.02.1.03.0001,Peningkatan Kapasitas Kinerja ASN,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,40650000,Dana Alokasi Umum (DAU)
6454,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.03.1.01,Pengelolaan Barang Milik Daerah,5.02.03.1.01.0003,Penyusunan Rencana Kebutuhan Barang Milik Daerah,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,17500000,Pendapatan Asli Daerah (PAD)
6455,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",5.07.01.1.01.0006,Koordinasi Dan Penyusunan Laporan Capaian Kinerja Dan Ikhtisar Realisasi Kinerja Skpd,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,236350000,Dana Bagi Hasil (DBH)
6456,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.02.1.01,"Pengadaan, Pemberhentian Dan Informasi Kepegawaian Asn",5.03.02.1.01.0011,Pengelolaan Data Kepegawaian,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1000000,Pendapatan Asli Daerah (PAD)
6457,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.02.1.01,Koordinasi Dan Penyusunan Rencana Anggaran Daerah,5.02.02.1.01.0007,Koordinasi Dan Penyusunan Peraturan Daerah Tentang Apbd Dan Peraturan Kepala Daerah Tentang Penjabaran Apbd,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,67771875,Dana Alokasi Umum (DAU)
6458,5.01.0.00.0.00.01.0000,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,5.01.0.00.0.00.01.0000,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,5.01.03.1.02,Koordinasi Perencanaan Bidang Perekonomian Dan Sda (Sumber Daya Alam),5.01.03.1.02.0008,Koordinasi Pelaksanaan Sinergitas Dan Harmonisasi Perencanaan Pembangunan Daerah Bidang Sda,5.1.02.02.001.00004,Honorarium Tim Pelaksana Kegiatan dan Sekretariat Tim Pelaksana Kegiatan,45000000,Pendapatan Asli Daerah (PAD)
6459,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.01.1.03,Administrasi Barang Milik Daerah Pada Perangkat Daerah,5.02.01.1.03.0006,Penatausahaan Barang Milik Daerah Pada Skpd,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1750000,Dana Bagi Hasil (DBH)
6460,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,5.03.01.1.09.0006,Pemeliharaan Peralatan Dan Mesin Lainnya,5.1.02.03.003.00001,Belanja Pemeliharaan Bangunan Gedung-Bangunan Gedung Tempat Kerja-Bangunan Gedung Kantor,78647840,Pendapatan Asli Daerah (PAD)
6461,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.01.1.06,Administrasi Umum Perangkat Daerah,5.07.01.1.06.0002,Penyediaan Peralatan Dan Perlengkapan Kantor,5.1.02.01.001.00031,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Listrik,4200645,Dana Bagi Hasil (DBH)
6462,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.01.1.02,Administrasi Keuangan Perangkat Daerah,5.05.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.007.00001,Belanja Tunjangan PPh/Tunjangan Khusus PNS,99908633.52,Pendapatan Asli Daerah (PAD)
6463,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.03.1.01,Pengelolaan Barang Milik Daerah,5.02.03.1.01.0003,Penyusunan Rencana Kebutuhan Barang Milik Daerah,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,34375000,Pendapatan Asli Daerah (PAD)
6464,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",5.02.01.1.01.0006,Koordinasi Dan Penyusunan Laporan Capaian Kinerja Dan Ikhtisar Realisasi Kinerja Skpd,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,9092831.28,Dana Bagi Hasil (DBH)
6465,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.04.1.01,Kegiatan Pengelolaan Pendapatan Daerah,5.02.04.1.01.0002,"Analisa Dan Pengembangan Pajak Daerah, Serta Penyusunan Kebijakan Pajak Daerah",5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,14300000,Pendapatan Asli Daerah (PAD)
6466,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.01.1.02,Administrasi Keuangan Perangkat Daerah,5.02.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.004.00001,Belanja Tunjangan Fungsional PNS,619138569.7,Pendapatan Asli Daerah (PAD)
6467,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0011,UPT Wil. XI Sigi,5.02.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,5.02.01.1.09.0002,"Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak Dan Perizinan Kendaraan Dinas Operasional Atau Lapangan",5.1.02.03.002.00036,Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Bermotor Penumpang,10000000,Pajak Kendaraan Bermotor (PKB)
6468,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,5.03.01.1.07.0006,Pengadaan Peralatan Dan Mesin Lainnya,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,6183135,Dana Alokasi Umum (DAU)
6469,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.01.1.02,Administrasi Keuangan Perangkat Daerah,5.02.01.1.02.0005,Koordinasi Dan Penyusunan Laporan Keuangan Akhir Tahun Skpd,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,27500000,Dana Alokasi Umum (DAU)
6470,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.01.1.02,Administrasi Keuangan Perangkat Daerah,5.02.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.002.00002,Belanja Tunjangan Keluarga PPPK,720593613.277,Pendapatan Asli Daerah (PAD)
6471,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.01.1.02,Administrasi Keuangan Perangkat Daerah,5.02.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.002.00002,Belanja Tunjangan Keluarga PPPK,209204597.403,Dana Bagi Hasil (DBH)
6472,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.04.1.01,Kegiatan Pengelolaan Pendapatan Daerah,5.02.04.1.01.0001,Perencanaan Pengelolaan Pajak Daerah,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2550800,Pendapatan Asli Daerah (PAD)
6473,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,5.02.01.1.08.0002,"Penyediaan Jasa Komunikasi, Sumber Daya Air Dan Listrik",5.1.02.02.001.00059,Belanja Tagihan Telepon,200220000,Dana Bagi Hasil (DBH)
6474,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.03.1.01,"Penelitian, Pengembangan, Pengkajian, dan Penerapan",5.05.03.1.01.0001,"Fasilitasi dan pembinaan pelaksanaan penelitian, pengembangan, pengkajian, dan penerapan",5.1.02.02.001.00003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",20000000,Pendapatan Asli Daerah (PAD)
6475,5.01.0.00.0.00.01.0000,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,5.01.0.00.0.00.01.0000,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,5.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,5.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00062,Belanja Langganan Jurnal/Surat Kabar/Majalah,5250000,Dana Bagi Hasil (DBH)
6476,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.01.1.06,Administrasi Umum Perangkat Daerah,5.03.01.1.06.0009,Penyelenggaraan Rapat Koordinasi Dan Konsultasi Skpd,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,36995416.0995483,Pendapatan Asli Daerah (PAD)
6477,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.01.1.06,Administrasi Umum Perangkat Daerah,5.03.01.1.06.0009,Penyelenggaraan Rapat Koordinasi Dan Konsultasi Skpd,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,164888583.900452,Dana Bagi Hasil (DBH)
6478,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.02.1.01,Pelaksanaan Pelayanan Penghubung,5.07.02.1.01.0004,Kegiatan Fasilitasi Pameran Produk Unggulan Dan Pelestarian Seni Budaya,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,600000,Pendapatan Asli Daerah (PAD)
6479,5.04.0.00.0.00.01.0000,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,5.04.0.00.0.00.01.0000,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,5.04.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,5.04.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.01.001.00036,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,1410400,Pendapatan Asli Daerah (PAD)
6480,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.02.1.02,Pembinaan Pengelolaan Keuangan Daerah Kabupaten/Kota,5.02.02.1.02.0002,Evaluasi Rancangan Peraturan Daerah Tentang Apbd Kabupaten/Kota Dan Rancangan Peraturan Kepala Daerah Tentang Penjabaran Apbd Kabupaten/Kota,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,54890625,Dana Alokasi Umum (DAU)
6481,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,5.07.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.004.00035,Belanja Sewa Kendaraan Dinas Bermotor Perorangan,5000000,Dana Bagi Hasil (DBH)
6482,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,5.05.01.1.09.0002,"Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak Dan Perizinan Kendaraan Dinas Operasional Atau Lapangan",5.1.02.03.002.00038,Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Bermotor Beroda Dua,5000000,Dana Alokasi Umum (DAU)
6483,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0007,UPT Wil. VII Toli-Toli,5.02.04.1.01,Kegiatan Pengelolaan Pendapatan Daerah,5.02.04.1.01.0010,Penagihan Pajak Daerah,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,133500000,Pendapatan Asli Daerah (PAD)
6484,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,5.02.01.1.09.0007,Pemeliharaan Aset Tetap Lainnya,5.1.02.03.002.00123,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Rumah Tangga Lainnya (Home Use),50000000,Dana Bagi Hasil (DBH)
6485,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.01.0000,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,5.02.04.1.01,Kegiatan Pengelolaan Pendapatan Daerah,5.02.04.1.01.0008,Pelayanan Dan Konsultasi Pajak Daerah,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,4905000,Pendapatan Asli Daerah (PAD)
6486,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.01.1.02,Administrasi Keuangan Perangkat Daerah,5.07.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.003.00001,Belanja Tunjangan Jabatan PNS,38124713.1,Pendapatan Asli Daerah (PAD)
6487,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.0.00.0.00.01.0000,Badan Penghubung Provinsi Sulawesi Tengah,5.07.01.1.02,Administrasi Keuangan Perangkat Daerah,5.07.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.02.02.001.00088,Belanja jasa Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Paruh Waktu pada jabatan operator layanan operasional,245700000,Pendapatan Asli Daerah (PAD)
6488,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.0.00.0.00.01.0000,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,5.05.01.1.06,Administrasi Umum Perangkat Daerah,5.05.01.1.06.0005,Penyediaan Barang Cetakan Dan Penggandaan,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,6577750,Dana Bagi Hasil (DBH)
6489,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,5.02.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,50850000,Dana Alokasi Umum (DAU)
6490,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,5.02.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,24150000,Pendapatan Asli Daerah (PAD)
6491,5.04.0.00.0.00.01.0000,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,5.04.0.00.0.00.01.0000,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,5.04.01.1.02,Administrasi Keuangan Perangkat Daerah,5.04.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.003.00001,Belanja Tunjangan Jabatan PNS,153898390.69,Pendapatan Asli Daerah (PAD)
6492,5.01.0.00.0.00.01.0000,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,5.01.0.00.0.00.01.0000,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,5.01.01.1.06,Administrasi Umum Perangkat Daerah,5.01.01.1.06.0011,Dukungan Pelaksanaan Sistem Pemerintahan Berbasis Elektronik Pada Skpd,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,3750000,Dana Bagi Hasil (DBH)
6493,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.01.1.02,Administrasi Keuangan Perangkat Daerah,5.02.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.002.00002,Belanja Tunjangan Keluarga PPPK,234676080.9523,Pendapatan Asli Daerah (PAD)
6494,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.0.00.0.00.02.0000,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,5.02.01.1.02,Administrasi Keuangan Perangkat Daerah,5.02.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.002.00002,Belanja Tunjangan Keluarga PPPK,68131765.4377,Dana Bagi Hasil (DBH)
6495,5.01.0.00.0.00.01.0000,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,5.01.0.00.0.00.01.0000,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,5.01.01.1.02,Administrasi Keuangan Perangkat Daerah,5.01.01.1.02.0002,Penyediaan Administrasi Pelaksanaan Tugas ASN,5.1.02.02.001.00002,Belanja Jasa Pengelolaan BMD yang Menghasilkan Pendapatan,4800000,Dana Bagi Hasil (DBH)
6496,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.0.00.0.00.01.0000,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,5.03.02.1.02,Mutasi Dan Promosi Asn,5.03.02.1.02.0003,Pengelolaan Promosi ASN,5.1.02.02.001.00007,Honorarium Rohaniwan,6400000,Pendapatan Asli Daerah (PAD)
