NO,KDSKPD,NMSKPD,KDSUBUNIT,NMSUBUNIT,KDKEGIATAN,NMKEGIATAN,KDSUBKEGIATAN,NMSUBKEGIATAN,KDREK,NMREK,PAGU,SUMBERDANA
2670,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.03.1.01,Pelaksanaan Latihan Kerja Berdasarkan Klaster Kompetensi,2.07.03.1.01.0001,Proses Pelaksanaan Pendidikan Dan Pelatihan Keterampilan Bagi Pencari Kerja Berdasarkan Klaster Kompetensi,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,22872100,Pendapatan Asli Daerah (PAD)
2671,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.3.32.0.00.01.0003,UPT. Pengawasan Ketenagakerjaan Wilayah II,2.07.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,2.07.01.1.08.0002,"Penyediaan Jasa Komunikasi, Sumber Daya Air Dan Listrik",5.1.02.02.001.00061,Belanja Tagihan Listrik,27889400,Pendapatan Asli Daerah (PAD)
2672,2.17.0.00.0.00.01.0000,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah",2.17.0.00.0.00.01.0000,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah",2.17.06.1.01,Pemberdayaan Dan Perlindungan Koperasi Yang Keanggotaannya Lintas Daerah Kabupaten/Kota Dalam 1 (Satu) Daerah Provinsi,2.17.06.1.01.0002,"Peningkatan Produktivitas, Nilai Tambah, Akses Pasar, Akses Pembiayaan, Penguatan Kelembagaan, Penataan Manajemen, Standarisasi, Dan Restrukturisasi Usaha",5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5848000,Pendapatan Asli Daerah (PAD)
2673,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.03.1.01,Pelaksanaan Latihan Kerja Berdasarkan Klaster Kompetensi,2.07.03.1.01.0002,Koordinasi Lintas Lembaga Dan Kerja Sama Dengan Sektor Swasta Untuk Penyediaan Instruktur Serta Sarana Dan Prasarana Lembaga Pelatihan Kerja,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,224500,Pendapatan Asli Daerah (PAD)
2674,2.09.0.00.0.00.01.0000,Dinas Pangan Provinsi Sulawesi Tengah,2.09.0.00.0.00.01.0000,Dinas Pangan Provinsi Sulawesi Tengah,2.09.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,2.09.01.1.09.0006,Pemeliharaan Peralatan Dan Mesin Lainnya,5.1.02.03.002.00068,Belanja Pemeliharaan Alat Bengkel dan Alat Ukur-Alat Bengkel Bermesin-Alat Bengkel Bermesin Lainnya,500000,Dana Bagi Hasil (DBH)
2675,2.16.2.21.2.20.01.0000,"Dinas Komunikasi, Informatika, Persandian dan Statistik Provinsi Sulawesi Tengah",2.16.2.21.2.20.01.0000,"Dinas Komunikasi, Informatika, Persandian dan Statistik Provinsi Sulawesi Tengah",2.16.01.1.06,Administrasi Umum Perangkat Daerah,2.16.01.1.06.0002,Penyediaan Peralatan Dan Perlengkapan Kantor,5.1.02.01.001.00030,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,11333870,Dana Bagi Hasil (DBH)
2676,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.04.1.01,Pelayanan Antar Kerja Lintas Daerah Kabupaten/Kota,2.07.04.1.01.0006,Penyelenggaraan Unit Layanan Disabilitas Ketenagakerjaan,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,18000000,Pendapatan Asli Daerah (PAD)
2677,2.18.0.00.0.00.01.0000,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Provinsi Sulawesi Tengah,2.18.0.00.0.00.01.0000,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Provinsi Sulawesi Tengah,2.18.01.1.02,Administrasi Keuangan Perangkat Daerah,2.18.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.002.00001,Belanja Tunjangan Keluarga PNS,270275000,Pendapatan Asli Daerah (PAD)
2678,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.06.1.01,Penyelenggaraan Pengawasan Ketenagakerjaan,2.07.06.1.01.0003,Pelayanan Keselamatan Dan Kesehatan Kerja Di Perusahaan,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,12990000,Pendapatan Asli Daerah (PAD)
2679,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.03.1.03,Penguatan Dan Pengembangan Lembaga Penyedia Layanan Perlindungan Perempuan Kewenangan Provinsi,2.08.03.1.03.0008,pendampingan penguatan dan pengembangan lembaga penyedia Layanan Perlindungan Perempuan kewenangan provinsi,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,3879700,Dana Alokasi Umum (DAU)
